NH4Cl_percent_wv	glutamine_percent_wv_experiment	model_N_fraction	effective_gln_uptake_capacity_mmol_gDW_h	residual_growth_fraction	shared_accumulation_window_h	literature_PHB_wt_pct	model_PHB_wt_pct	error_percentage_points
0.15	0.1	0.5	0.1	0.45	9.548922203144977	62.0	62.099279	0.099279
0.3	0.1	1.0	0.1	0.45	9.548922203144977	50.0	49.896247	-0.103753
