residual_growth_fraction	N_fraction_of_qref	NH4_capacity	condition_max_growth_h-1	max_PHB_flux_mmol_lump_gDW_h	PHB_mass_rate_g_gDW_h
0.05	0.0	0.0	1.0625043335752267e-15		
0.05	0.0249999999999999	0.0753540928677497	0.00718330104863708	0.873989254394528	0.3009669396432997
0.05	0.0499999999999999	0.15070818573549968	0.01436660209727746	0.8729784882903804	0.3006188722276754
0.05	0.075	0.22606227860324998	0.021549903145916732	0.8719677324355534	0.30027080834150716
0.05	0.0999999999999999	0.3014163714709997	0.028733204194554947	0.8709569765807476	0.2999227444553462
0.05	0.1249999999999999	0.3767704643387497	0.035916505243193265	0.8699462207259235	0.2995746805691791
0.05	0.15	0.45212455720649997	0.04309980629183159	0.8689354648711206	0.29922661668301914
0.05	0.175	0.52747865007425	0.0502831073404698	0.8679247090163045	0.29887855279685466
0.05	0.1999999999999999	0.6028327429419997	0.05746640838910801	0.8669139531614781	0.2985304889106866
0.05	0.2249999999999999	0.6781868358097497	0.06464970943774632	0.8659031973066582	0.29818242502452086
0.05	0.2499999999999999	0.7535409286774997	0.07183301048638453	0.8648924414518613	0.297834361138363
0.05	0.2749999999999999	0.8288950215452497	0.07901631153502274	0.8638816855970417	0.2974862972521973
0.05	0.3	0.9042491144129999	0.08619961258366109	0.8628709297422401	0.2971382333660378
0.05	0.3249999999999999	0.9796032072807497	0.09338291363229928	0.8618601738874169	0.29679016947987086
0.05	0.35	1.0549573001485	0.1005662146809376	0.8608494180326104	0.2964421055937097
0.05	0.3749999999999999	1.1303113930162496	0.1077495157295758	0.8598386621777884	0.2960940417075432
0.05	0.3999999999999999	1.2056654858839997	0.11493281677821403	0.8588279063229756	0.2957459778213799
0.05	0.425	1.28101957875175	0.12211611782685235	0.8578171504681679	0.2953979139352183
0.05	0.4499999999999999	1.3563736716194996	0.12929941887549057	0.856806394613343	0.2950498500490508
0.05	0.475	1.43172776448725	0.1364827199241289	0.8557956387585347	0.29470178616288906
0.05	0.4999999999999999	1.5070818573549996	0.1436660209727671	0.8547848829037225	0.29435372227672585
0.05	0.5249999999999999	1.5824359502227496	0.1508493220214053	0.8537741270489138	0.294005658390564
0.05	0.5499999999999999	1.6577900430904997	0.15803262307004362	0.8527633711941027	0.2936575945044012
0.05	0.575	1.7331441359582498	0.16521592411868183	0.8517526153392861	0.29330953061823656
0.05	0.6	1.8084982288259999	0.17239922516732017	0.8507418594844632	0.29296146673206974
0.05	0.625	1.88385232169375	0.17958252621595835	0.8497311036296588	0.2926134028459093
0.05	0.6499999999999999	1.9592064145614998	0.18676582726460117	0.8487203477748384	0.2922653389597434
0.05	0.6749999999999999	2.0345605074292497	0.19394912831323685	0.8477095919200108	0.29191727507357496
0.05	0.7	2.109914600297	0.20113242936187828	0.8466988360652127	0.2915692111874167
0.05	0.725	2.18526869316475	0.20831573041051377	0.8456880802103849	0.29122114730124815
0.05	0.7499999999999999	2.2606227860324997	0.21549903145915533	0.8446773243555808	0.29087308341508783
0.05	0.7749999999999999	2.3359768789002495	0.2226823325077905	0.8436665685007552	0.29052501952892
0.05	0.7999999999999999	2.411330971768	0.2298656335564325	0.8426558126459616	0.29017695564276336
0.05	0.825	2.4866850646357497	0.2370489346050674	0.8416450567911286	0.28982889175659304
0.05	0.85	2.5620391575035	0.24423223565370966	0.8406343009363317	0.2894808278704352
0.05	0.8749999999999999	2.63739325037125	0.2514155367023441	0.8396235450815023	0.28913276398426613
0.05	0.8999999999999999	2.7127473432389997	0.2585988377509867	0.8386127892267058	0.2887847000981084
0.05	0.925	2.78810143610675	0.26578213879962087	0.8376020333718789	0.2884366362119402
0.05	0.95	2.8634555289745	0.2729654398482639	0.8365912775170736	0.28808857232577945
0.05	0.975	2.93880962184225	0.2801487408968977	0.8355805216622524	0.28774050843961324
0.05	1.0	3.01416371471	0.28733204194554096	0.8345697658074448	0.2873924445534517
0.05	1.025	3.08951780757775	0.29023438580320604	0.8341613796035398	0.28725181268027494
0.05	1.0499999999999998	3.1648719004454993	0.2902343858032069	0.8341613796035415	0.28725181268027555
0.05	1.075	3.24022599331325	0.2902343858032067	0.8341613796035396	0.2872518126802749
