residual_growth_fraction_alpha	time_after_dual_limit_h	residual_growth_rate_h-1	PHB_capacity_g_gDW_h	relative_residual_biomass	relative_PHB_mass	PHB_wt_pct
0.0	0.0	0.0	0.3013150000000184	1.0	0.0	0.0
0.0	0.1	0.0	0.3013150000000184	1.0	0.030131500000001837	2.9250149131447576
0.0	0.2	0.0	0.3013150000000184	1.0	0.060263000000003675	5.683778458741224
0.0	0.30000000000000004	0.0	0.3013150000000184	1.0	0.09039450000000553	8.290072996516864
0.0	0.4	0.0	0.3013150000000184	1.0	0.12052600000000735	10.75619842823875
0.0	0.5	0.0	0.3013150000000184	1.0	0.1506575000000092	13.093166298399652
0.0	0.6000000000000001	0.0	0.3013150000000184	1.0	0.18078900000001105	15.310864176411652
0.0	0.7000000000000001	0.0	0.3013150000000184	1.0	0.2109205000000129	17.418195496732498
0.0	0.8	0.0	0.3013150000000184	1.0	0.2410520000000147	19.42319902792243
0.0	0.9	0.0	0.3013150000000184	1.0	0.27118350000001656	21.333151350691146
0.0	1.0	0.0	0.3013150000000184	1.0	0.3013150000000184	23.15465509888183
0.0	1.1	0.0	0.3013150000000184	1.0	0.33144650000002024	24.893715218750074
0.0	1.2000000000000002	0.0	0.3013150000000184	1.0	0.3615780000000221	26.555805102610076
0.0	1.3	0.0	0.3013150000000184	1.0	0.3917095000000239	28.145924131438147
0.0	1.4000000000000001	0.0	0.3013150000000184	1.0	0.4218410000000258	29.668647900856573
0.0	1.5	0.0	0.3013150000000184	1.0	0.45197250000002753	31.128172193345186
0.0	1.6	0.0	0.3013150000000184	1.0	0.4821040000000294	32.52835158666463
0.0	1.7000000000000002	0.0	0.3013150000000184	1.0	0.5122355000000313	33.87273344661071
0.0	1.8	0.0	0.3013150000000184	1.0	0.5423670000000331	35.16458793529824
0.0	1.9000000000000001	0.0	0.3013150000000184	1.0	0.572498500000035	36.406934569414354
0.0	2.0	0.0	0.3013150000000184	1.0	0.6026300000000367	37.60256578249645
0.0	2.1	0.0	0.3013150000000184	1.0	0.6327615000000386	38.75406787825556
0.0	2.2	0.0	0.3013150000000184	1.0	0.6628930000000405	39.86383970586348
0.0	2.3000000000000003	0.0	0.3013150000000184	1.0	0.6930245000000423	40.934109341006284
0.0	2.4000000000000004	0.0	0.3013150000000184	1.0	0.7231560000000442	41.966949016805536
0.0	2.5	0.0	0.3013150000000184	1.0	0.753287500000046	42.964288515148034
0.0	2.6	0.0	0.3013150000000184	1.0	0.7834190000000478	43.927927200507945
0.0	2.7	0.0	0.3013150000000184	1.0	0.8135505000000497	44.8595448541426
0.0	2.8000000000000003	0.0	0.3013150000000184	1.0	0.8436820000000516	45.76071144590163
0.0	2.9000000000000004	0.0	0.3013150000000184	1.0	0.8738135000000534	46.632895963233715
0.0	3.0	0.0	0.3013150000000184	1.0	0.9039450000000551	47.47747440183561
0.0	3.1	0.0	0.3013150000000184	1.0	0.9340765000000569	48.29573700937007
0.0	3.2	0.0	0.3013150000000184	1.0	0.9642080000000588	49.08889486246009
