residual_growth_fraction	O2_fraction_of_qref	O2_capacity	condition_max_growth_h-1	max_PHB_flux_mmol_lump_gDW_h	max_PHB_mass_rate_g_gDW_h
0.05	0.0	0.0	5.428324804932597e-13		
0.05	0.025	0.11960486744525001	0.10763452961429822	0.7616771918750516	0.2622911577940928
0.05	0.05	0.23920973489050001	0.1126444880755625	0.7726935720664411	0.2660847584767997
0.05	0.075	0.35881460233575	0.11765444653656239	0.783709952257864	0.2698783591595181
0.05	0.1	0.47841946978100003	0.12266440499756068	0.7947263324492873	0.2736719598422366
0.05	0.125	0.59802433722625	0.1276743634585588	0.8057427126407399	0.27746556052496524
0.05	0.15	0.7176292046715	0.13268432191955862	0.8167590928321616	0.2812591612076832
0.05	0.175	0.83723407211675	0.13769428038055911	0.8277754730235886	0.28505276189040296
0.05	0.2	0.9568389395620001	0.14270423884155567	0.8387918532150106	0.288846362573121
0.05	0.225	1.0764438070072502	0.14771419730255617	0.8498082334064362	0.29263996325584035
0.05	0.25	1.1960486744525	0.15272415576355583	0.8535103208727778	0.29391481409574977
0.05	0.275	1.3156535418977502	0.15773411422455713	0.8528053741063221	0.2936720586272531
0.05	0.3	1.435258409343	0.16274407268555768	0.8521004273398534	0.29342930315875193
0.05	0.325	1.5548632767882502	0.16775403114655696	0.8513954805733774	0.29318654769024827
0.05	0.35	1.6744681442335	0.17276398960755615	0.8506905338068873	0.2929437922217397
0.05	0.375	1.79407301167875	0.1777739480685548	0.8499855870404293	0.29270103675324227
0.05	0.4	1.9136778791240001	0.18278390652955198	0.8492806402739445	0.2924582812847355
0.05	0.425	2.0332827465692502	0.18779386499055314	0.848575693507484	0.29221552581623716
0.05	0.45	2.1528876140145004	0.1928038234515502	0.8478707467410018	0.2919727703477314
0.05	0.475	2.27249248145975	0.19781378191255142	0.8471657999745421	0.29173001487923333
0.05	0.5	2.392097348905	0.20282374037354847	0.8464608532080601	0.29148725941072756
0.05	0.525	2.5117022163502503	0.20783369883454983	0.8457559064416023	0.29124450394223017
0.05	0.55	2.6313070837955004	0.2128436572955467	0.8450509596751172	0.29100174847372334
0.05	0.5750000000000001	2.7509119512407505	0.21785361575654816	0.8443460129086587	0.2907589930052258
0.05	0.6000000000000001	2.8705168186860006	0.22286357421754738	0.843641066142179	0.2905162375367208
0.05	0.625	2.9901216861312503	0.22787353267854626	0.8429361193757026	0.29027348206821696
0.05	0.65	3.1097265535765004	0.23288349113954546	0.8422311726092278	0.2900307265997137
0.05	0.675	3.2293314210217505	0.23789344960054498	0.8415262258427628	0.2897879711312138
0.05	0.7000000000000001	3.3489362884670006	0.24284008198573395	0.8408301896316521	0.28954828410155575
