combined_N_fraction_qNref	combined_O2_fraction_qO2ref	residual_growth_fraction_alpha	condition_mu_max_h-1	residual_growth_rate_h-1	max_PHB_flux_mmol_lump_gDW_h	max_PHB_mass_rate_g_gDW_h	asymptotic_PHB_wt_pct	effective_accumulation_time_to_73pct_h	73pct_reachable_without_extra_rate_multiplier
0.5	0.25	0.0	0.14366602097268574	0.0	0.8750000000000533	0.3013150000000184	100.0	8.973013967786333	YES
0.5	0.25	0.01	0.14366602097268574	0.0014366602097268574	0.870956976580524	0.29992274445526923	99.52327347761921	9.073550613582986	YES
0.5	0.25	0.05	0.14366602097268574	0.007183301048634287	0.8547848829036715	0.2943537222767083	97.61777145326401	9.502266721057914	YES
0.5	0.25	0.1	0.14366602097268574	0.014366602097268574	0.8345697658066324	0.2873924445531719	95.23904842067222	10.107263192230935	YES
0.5	0.25	0.2	0.14366602097268574	0.02873320419453715	0.7813117285595859	0.269052506846779	90.35104669929896	11.857934345128983	YES
0.5	0.25	0.3	0.14366602097268574	0.04309980629180572	0.727165159115986	0.25040659419318095	85.31554806962026	14.528159453710542	YES
0.5	0.25	0.4	0.14366602097268574	0.0574664083890743	0.673018589672944	0.231760681539775	80.13104221903585	19.31341519184251	YES
0.5	0.25	0.5	0.14366602097268574	0.07183301048634287	0.618872020230061	0.21311476888642383	74.79081583142592	33.72670127962846	YES
0.5	0.25	0.52	0.14366602097268574	0.07470633090579659	0.6080427063412893	0.20938558635568638	73.70346484126276	44.74123987768107	YES
0.5	0.25	0.53	0.14366602097268574	0.07614299111552345	0.6026280493971697	0.20752099509040936	73.15732880512876	63.46869598667817	YES
0.5	0.25	0.54	0.14366602097268574	0.07757965132525031	0.5972133924533081	0.20565640382522116	72.60954249485098		NO
0.5	0.25	0.7052821313945055	0.14366602097268574	0.10132507748058352	0.4908288156634909	0.16902181096187974	62.5203463356494		NO
