GAM	reaction_id	slope	spearman_rho	default_mu_max_h_1	PHB_max_at_growth50
40.0	R_ACACT1r	4.0	0.9999999999999999	1.100185638704429	1.6454546699479906
40.0	R_PDH	3.7683633609229448	0.9878787878787878	1.100185638704429	1.6454546699479906
40.0	R_PHB_SYN_HB	1.0	0.9999999999999999	1.100185638704429	1.6454546699479906
40.0	R_ENO	1.1406606545206432	0.8666666666666665	1.100185638704429	1.6454546699479906
40.0	R_AACOAR_syn	0.0		1.100185638704429	1.6454546699479906
50.0	R_ACACT1r	4.0	0.9999999999999999	1.053810166270371	1.6607759696496665
50.0	R_PDH	3.791055992706785	0.9999999999999999	1.053810166270371	1.6607759696496665
50.0	R_PHB_SYN_HB	1.0	0.9999999999999999	1.053810166270371	1.6607759696496665
50.0	R_ENO	1.317409874811248	0.9636363636363635	1.053810166270371	1.6607759696496665
50.0	R_AACOAR_syn	0.0		1.053810166270371	1.6607759696496665
53.95	R_ACACT1r	3.9999999999999996	0.9999999999999999	1.0365513778685913	1.666477842983638
53.95	R_PDH	3.742479317695446	0.9999999999999999	1.0365513778685913	1.666477842983638
53.95	R_PHB_SYN_HB	0.9999999999999999	0.9999999999999999	1.0365513778685913	1.666477842983638
53.95	R_ENO	1.3744045143175294	0.9636363636363635	1.0365513778685913	1.666477842983638
53.95	R_AACOAR_syn	-0.05671793575784667	-0.4061811972299616	1.0365513778685913	1.666477842983638
60.0	R_ACACT1r	3.9999999999999982	0.9999999999999999	1.0111862329781665	1.6748578543654267
60.0	R_PDH	3.6927586514013147	0.9999999999999999	1.0111862329781665	1.6748578543654267
60.0	R_PHB_SYN_HB	0.9999999999999996	0.9999999999999999	1.0111862329781665	1.6748578543654267
60.0	R_ENO	1.3720855999706958	0.9878787878787878	1.0111862329781665	1.6748578543654267
60.0	R_AACOAR_syn	-0.21379878549265427	-0.5276492843761433	1.0111862329781665	1.6748578543654267
70.0	R_ACACT1r	3.9999999999999987	0.9999999999999999	0.9718763149834192	1.6878448710631995
70.0	R_PDH	3.6434765461098126	0.9999999999999999	0.9718763149834192	1.6878448710631995
70.0	R_PHB_SYN_HB	0.9999999999999997	0.9999999999999999	0.9718763149834192	1.6878448710631995
70.0	R_ENO	1.4319922031177754	0.9999999999999999	0.9718763149834192	1.6878448710631995
70.0	R_AACOAR_syn	-0.3780120249947386	-0.5741633988358116	0.9718763149834192	1.6878448710631995
80.0	R_ACACT1r	3.9999999999999987	0.9999999999999999	0.9355083775972075	1.6998599307278726
80.0	R_PDH	3.428358362553286	0.9999999999999999	0.9355083775972075	1.6998599307278726
80.0	R_PHB_SYN_HB	0.9999999999999997	0.9999999999999999	0.9355083775972075	1.6998599307278726
80.0	R_ENO	1.387720018383561	0.9999999999999999	0.9355083775972075	1.6998599307278726
80.0	R_AACOAR_syn	-0.5372077043582602	-0.5735425432790918	0.9355083775972075	1.6998599307278726
100.0	R_ACACT1r	3.9999999999999987	0.9999999999999999	0.8703693519676431	1.7213802405292773
100.0	R_PDH	3.203687670546945	0.9999999999999999	0.8703693519676431	1.7213802405292773
100.0	R_PHB_SYN_HB	0.9999999999999997	0.9999999999999999	0.8703693519676431	1.7213802405292773
100.0	R_ENO	1.2627805367248657	0.9999999999999999	0.8703693519676431	1.7213802405292773
100.0	R_AACOAR_syn	-0.6130225466005409	-0.4314607256416984	0.8703693519676431	1.7213802405292773
