O2_fraction	O2_capacity_mmol_gDW_h	condition_mu_max_h_1	relative_growth_floor_h_1	fixed_growth_floor_h_1	PHB_relative_protocol_g_gDW_h	PHB_fixed_growth_g_gDW_h	actual_O2_uptake_relative	actual_O2_uptake_fixed
0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.015272415576346161	0.25877489052286246	0.25357309000073514	0.23920973489005465	0.23920973489005465
0.1	0.4784194697801093	0.12266440499752289	0.01226644049975229	0.015272415576346161	0.26571186682274095	0.2618105164314085	0.4784194697801093	0.4784194697801093
0.15	0.7176292046701639	0.1326843219195054	0.013268432191950542	0.015272415576346161	0.27264884312309645	0.2700479428620834	0.7176292046701639	0.7176292046701639
0.2	0.9568389395602186	0.14270423884148198	0.014270423884148198	0.015272415576346161	0.2795858194235019	0.27828536929276637	0.9568389395602186	0.9568389395602186
0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.015272415576346161	0.2865059958006885	0.2865059958006885	1.1960486744502732	1.1960486744502732
0.3	1.4352584093403278	0.1627440726854277	0.016274407268542773	0.015272415576346161	0.2855436063174738	0.2865146281914983	1.2061470700201147	1.1965333210007503
0.35	1.6744681442303824	0.17276398960741626	0.017276398960741627	0.015272415576346161	0.28457258444345573	0.2865146281914983	1.2157608190400402	1.1965333210007503
0.4	1.9136778791204372	0.18278390652939266	0.018278390652939267	0.015272415576346161	0.28360156256969027	0.2865146281913849	1.225374568057478	1.1965333210013005
0.45	2.152887614010492	0.19280382345138333	0.019280382345138333	0.015272415576346161	0.28263054069540355	0.286514628191405	1.2349883170797231	1.1965333210012377
0.5	2.3920973489005464	0.20282374037336268	0.02028237403733627	0.015272415576346161	0.2816595188215106	0.28651462819140283	1.244602066098666	1.1965333210012592
0.55	2.631307083790601	0.212843657295342	0.0212843657295342	0.015272415576346161	0.2806884969474636	0.28651462819139933	1.2542158151179577	1.1965333210013207
0.6	2.8705168186806556	0.22286357421731928	0.02228635742173193	0.015272415576346161	0.2797174750731366	0.2865146281912427	1.2638295641409751	1.196533321003507
0.65	3.1097265535707104	0.23288349113930149	0.02328834911393015	0.015272415576346161	0.2787464531994265	0.2865146281914146	1.273443313157467	1.1965333210020939
0.7	3.3489362884607647	0.24284008198607382	0.024284008198607383	0.015272415576346161	0.27778156820313193	0.2865146281914146	1.2829963030905813	1.1965333210020939
0.75	3.5881460233508196	0.2503334378032742	0.025033343780327424	0.015272415576346161	0.2770553932791219	0.28651462819139306	1.290185907826119	1.1965333210012923
0.8	3.8273557582408744	0.25773315863163165	0.025773315863163167	0.015272415576346161	0.27633829244460373	0.2865146281914146	1.2972856731656344	1.1965333210020939
0.85	4.066565493130929	0.2651328794599909	0.026513287945999095	0.015272415576346161	0.27562119161030646	0.2865146281913965	1.3043854385025484	1.1965333210014488
0.9	4.305775228020984	0.2725326002883502	0.02725326002883502	0.015272415576346161	0.27490409077581174	0.2865146281913965	1.3114852038410694	1.1965333210014488
0.95	4.5449849629110375	0.2799323211167041	0.02799323211167041	0.015272415576346161	0.27418698994147317	0.2865146281913965	1.3185849691789437	1.1965333210014488
1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.015272415576346161	0.2734698891069928	0.2865146281913978	1.3256847345180267	1.1965333210013012
1.05	5.023404432691148	0.2873320419449913	0.02873320419449913	0.015272415576346161	0.2734698891073235	0.28651462819134266	1.3256847345145424	1.196533321001919
1.1	5.262614167581202	0.2873320419449913	0.02873320419449913	0.015272415576346161	0.2734698891073235	0.28651462819134266	1.3256847345145424	1.196533321001919
1.15	5.501823902471256	0.2873320419449913	0.02873320419449913	0.015272415576346161	0.2734698891073235	0.28651462819134266	1.3256847345145424	1.196533321001919
1.2	5.741033637361311	0.2873320419449913	0.02873320419449913	0.015272415576346161	0.2734698891073235	0.28651462819134266	1.3256847345145424	1.196533321001919
1.25	5.9802433722513655	0.2873320419449913	0.02873320419449913	0.015272415576346161	0.2734698891073235	0.28651462819134266	1.3256847345145424	1.196533321001919
1.3	6.219453107141421	0.2873320419449913	0.02873320419449913	0.015272415576346161	0.27346988910702247	0.28651462819139306	1.3256847345178342	1.1965333210012923
1.35	6.458662842031476	0.2873320419449913	0.02873320419449913	0.015272415576346161	0.2734698891071866	0.2865146281914006	1.3256847345166445	1.196533321001233
1.4	6.6978725769215295	0.2873320419449913	0.02873320419449913	0.015272415576346161	0.2734698891071866	0.2865146281914091	1.3256847345166445	1.1965333210012141
1.45	6.937082311811584	0.2873320419449913	0.02873320419449913	0.015272415576346161	0.2734698891071866	0.2865146281914091	1.3256847345166445	1.1965333210012141
1.5	7.176292046701639	0.2873320419449913	0.02873320419449913	0.015272415576346161	0.2734698891071866	0.2865146281914091	1.3256847345166445	1.1965333210012141
