N_fraction_qNref,O2_fraction_qO2ref,mu_max_h-1,PHB_flux_mmol_gDW_h,PHB_capacity_g_gDW_h
0.05,0.05,0.014366602097247983,0.7885063165445052,0.2715300351652658
0.05,0.11904761904761905,0.014366602097247983,0.8215400418388561,0.2829055288076285
0.05,0.1880952380952381,0.014366602097247983,0.8545737671332069,0.2942810224499911
0.05,0.2571428571428572,0.014366602097247983,0.8709569765797374,0.29992274445499834
0.05,0.3261904761904762,0.014366602097247983,0.8709569765805127,0.29992274445526534
0.05,0.3952380952380952,0.014366602097247983,0.8709569765808138,0.29992274445536904
0.05,0.4642857142857143,0.014366602097247983,0.8709569765803765,0.29992274445521844
0.05,0.5333333333333334,0.014366602097247983,0.8709569765803765,0.29992274445521844
0.05,0.6023809523809525,0.014366602097247983,0.8709569765803765,0.29992274445521844
0.05,0.6714285714285715,0.014366602097247983,0.8709569765805127,0.29992274445526534
0.05,0.7404761904761905,0.014366602097247983,0.8709569765805127,0.29992274445526534
0.05,0.8095238095238096,0.014366602097247983,0.8709569765805127,0.29992274445526534
0.05,0.8785714285714287,0.014366602097247983,0.8709569765805127,0.29992274445526534
0.05,0.9476190476190477,0.014366602097247983,0.8709569765803765,0.29992274445521844
0.05,1.0166666666666668,0.014366602097247983,0.8709569765803765,0.29992274445521844
0.05,1.0857142857142859,0.014366602097247983,0.8709569765803765,0.29992274445521844
0.05,1.1547619047619049,0.014366602097247983,0.8709569765803765,0.29992274445521844
0.05,1.223809523809524,0.014366602097247957,0.8709569765797498,0.29992274445500267
0.05,1.292857142857143,0.014366602097247957,0.8709569765805172,0.2999227444552669
0.05,1.361904761904762,0.014366602097247957,0.8709569765806795,0.2999227444553228
0.05,1.430952380952381,0.014366602097247957,0.8709569765803751,0.29992274445521794
0.05,1.5,0.014366602097247983,0.8709569765805456,0.29992274445527667
0.11764705882352941,0.05,0.033803769640582855,0.7811806042090412,0.26900735286542543
0.11764705882352941,0.11904761904761905,0.033803769640582855,0.8142143295033821,0.28038284650778467
0.11764705882352941,0.1880952380952381,0.03380376964058285,0.8472480547977228,0.29175834015014385
