State,N_fraction,O2_fraction,mu_max_h-1,PHB_flux_mmol_gDW_h,PHB_capacity_g_gDW_h
Control,1.0,1.0,0.28733204194506157,0.7941395316158755,0.2734698891072429
N-limited,0.5,1.0,0.14366602097250125,0.8345697658072881,0.28739244455339774
O2-limited,1.0,0.25,0.1527241557634616,0.8319955738208553,0.2865059958009497
N + low O2,0.5,0.25,0.14366602097250125,0.8345697658073407,0.28739244455341584
