reaction_id,reaction_label,reference_min,reference_max,storage_min,storage_max,classification,normalization_scale,reference_min_norm,reference_max_norm,storage_min_norm,storage_max_norm
R_PHB_SYN_HB,PHB synthase,0.0,0.019347222221709037,0.8262240681492673,0.8345697658073136,required upward shift,0.8345697658073136,0.0,0.023182270691286876,0.9900000000000322,1.0
R_CS,Citrate synthase,0.3228401005943718,1.8019912438877257,0.0,0.12370185203946166,required downward shift,1.8019912438877257,0.179157419154744,1.0,0.0,0.06864731027914417
R_MDH,Malate dehydrogenase,1.205208253834025,2.8005122454709492,-0.3552047557784898,0.3835336324421708,required downward shift,2.8005122454709492,0.4303527884168743,1.0,-0.1268356374277366,0.1369512427815411
R_CYO1_KT,Ubiquinol–cytochrome c reductase,9.36351992822421,9.568324455821529,2.1457905213729735,2.3920940691136447,required downward shift,9.568324455821529,0.9785955703589554,1.0,0.2242597992240364,0.25000135396310214
R_CYTCAA3pp,Cytochrome c oxidase aa3,9.38115553251992,9.568324455821529,2.2073412179271403,2.3920940691136447,required downward shift,9.568324455821529,0.9804386939253787,1.0,0.2306925552241445,0.25000135396310214
R_ATPS4rpp,ATP synthase,17.582424992411816,19.361142032083272,4.408594045712155,5.14744727059931,required downward shift,19.361142032083272,0.9081295392222241,1.0,0.22770320254903822,0.2658648576653947
R_EX_co2_e,CO2 release,3.903298581555987,4.985102784081278,2.731603252721129,2.9837029290141572,required downward shift,4.985102784081278,0.7829925982710384,1.0,0.547953246108354,0.5985238536188044
