GAM	default_mu_max_h_1	fig3_control_mu_max_h_1	O2_peak_fraction	O2_peak_capacity	O2_peak_PHB_mass_rate	PHB_at_O2_0p05	PHB_at_O2_1p0	PhaA_slope	PhaA_rho	PDH_slope	PDH_rho	PhaB_slope	PhaB_rho
40.0	1.100185638704429	0.2873320419449916	0.25	1.1960486744502732	0.28474978643433346	0.25785807577033176	0.2747022926644694	4.0	0.9999999999999999	3.7683633609229448	0.9878787878787878	0.0	
50.0	1.053810166270371	0.28733204194499157	0.25	1.1960486744502732	0.28606949435258133	0.25854364867433316	0.2738188492541603	4.0	0.9999999999999999	3.791055992706785	0.9999999999999999	0.0	
53.95	1.0365513778685913	0.28733204194506157	0.25	1.1960486744502732	0.2865059958006885	0.25877489052286246	0.2734698891069928	3.9999999999999996	0.9999999999999999	3.742479317695446	0.9999999999999999	-0.05671793575784667	-0.4061811972299616
60.0	1.0111862329781665	0.27184786954832235	0.25	1.1960486744502732	0.2869557060808377	0.2590941914571833	0.27446476722467167	3.9999999999999982	0.9999999999999999	3.6927586514013147	0.9999999999999999	-0.21379878549265427	-0.5276492843761433
70.0	0.9718763149834192	0.24961388479637667	0.25	1.1960486744502732	0.2875682994291577	0.259546020859832	0.2758933295223561	3.9999999999999987	0.9999999999999999	3.6434765461098126	0.9999999999999999	-0.3780120249947386	-0.5741633988358116
80.0	0.9355083775972075	0.23074188971309642	0.25	1.1960486744502732	0.28808009062148215	0.25992350179338036	0.2771058796327013	3.9999999999999987	0.9999999999999999	3.428358362553286	0.9999999999999999	-0.5372077043582602	-0.5735425432790918
100.0	0.8703693519676431	0.2004343172567374	0.3	1.4352584093403278	0.28912010866068405	0.26051845049056943	0.27905318039007454	3.9999999999999987	0.9999999999999999	3.203687670546945	0.9999999999999999	-0.6130225466005409	-0.4314607256416984
