GAM	O2_fraction_of_baseline_qref	O2_capacity_mmol_gDW_h	mu_max_h_1	PHB_flux_mmol_lump_gDW_h	PHB_mass_rate_g_gDW_h
40.0	0.05	0.23920973489005465	0.13191502167410069	0.748803797683621	0.25785807577033176
40.0	0.1	0.4784194697801093	0.14364908501375667	0.7687115224015201	0.26471349985418746
40.0	0.15	0.7176292046701639	0.15538314835330055	0.7886192471192581	0.2715689239379877
40.0	0.2	0.9568389395602186	0.1671172116928445	0.808526971838102	0.2784243480221688
40.0	0.25	1.1960486744502732	0.1788512750324998	0.8268956511625434	0.28474978643433346
40.0	0.3	1.4352584093403278	0.19058533837215558	0.8237396240334433	0.28366297693215653
40.0	0.35	1.6744681442303824	0.20231940171169993	0.8205835969038676	0.28257616742981584
40.0	0.4	1.9136778791204372	0.21405346505135542	0.8174275697743141	0.2814893579274828
40.0	0.45	2.152887614010492	0.22578752839089924	0.8142715426443187	0.28040254842499757
40.0	0.5	2.3920973489005464	0.23752159173055426	0.8111155155147257	0.27931573892265094
40.0	0.55	2.631307083790601	0.24925565507009906	0.8079594883850753	0.2782289294202845
40.0	0.6	2.8705168186806556	0.2609897184097543	0.8048034612559125	0.277142119918086
40.0	0.65	3.1097265535707104	0.2711448377450034	0.8020721114072988	0.27620155228421744
40.0	0.7	3.3489362884607647	0.27966333671410903	0.7997809516384343	0.27541256850621126
40.0	0.75	3.5881460233508196	0.28733204194499173	0.7977183548160918	0.2747022926644694
40.0	0.8	3.8273557582408744	0.2873320419449916	0.7977183548160918	0.2747022926644694
40.0	0.85	4.066565493130929	0.2873320419449916	0.7977183548160918	0.2747022926644694
40.0	0.9	4.305775228020984	0.2873320419449916	0.7977183548160918	0.2747022926644694
40.0	0.95	4.5449849629110375	0.2873320419449916	0.7977183548160918	0.2747022926644694
40.0	1.0	4.784194697801093	0.2873320419449916	0.7977183548160918	0.2747022926644694
40.0	1.05	5.023404432691148	0.2873320419447745	0.7977183548163151	0.27470229266454627
40.0	1.1	5.262614167581202	0.28733204194499123	0.7977183548160918	0.2747022926644694
40.0	1.15	5.501823902471256	0.28733204194499123	0.7977183548160918	0.2747022926644694
40.0	1.2	5.741033637361311	0.2873320419447745	0.7977183548163151	0.27470229266454627
40.0	1.25	5.9802433722513655	0.2873320419447745	0.7977183548167852	0.27470229266470814
40.0	1.3	6.219453107141421	0.28733204194499123	0.7977183548164172	0.2747022926645814
40.0	1.35	6.458662842031476	0.28733204194499123	0.7977183548164172	0.2747022926645814
40.0	1.4	6.6978725769215295	0.2873320419447745	0.7977183548165335	0.2747022926646215
40.0	1.45	6.937082311811584	0.2873320419447745	0.7977183548165335	0.2747022926646215
40.0	1.5	7.176292046701639	0.2873320419447745	0.7977183548165335	0.2747022926646215
50.0	0.05	0.23920973489005465	0.11750496158043457	0.7507946587127807	0.25854364867433316
50.0	0.1	0.4784194697801093	0.12795722580631277	0.7708794738717826	0.26546005562248703
50.0	0.15	0.7176292046701639	0.13840949003222497	0.7909642890316421	0.2723764625709363
50.0	0.2	0.9568389395602186	0.1488617542581103	0.8110491041911556	0.27929286951926635
50.0	0.25	1.1960486744502732	0.15931401848401622	0.8307280007915592	0.28606949435258133
50.0	0.3	1.4352584093403278	0.16976628270989513	0.8278234062183893	0.28506926816536454
50.0	0.35	1.6744681442303824	0.18021854693580716	0.8249188116452336	0.28406904197815264
50.0	0.4	1.9136778791204372	0.19067081116169268	0.822014217071988	0.28306881579090976
50.0	0.45	2.152887614010492	0.20112307538759847	0.8191096224979979	0.2820685896034106
50.0	0.5	2.3920973489005464	0.21157533961349392	0.8162050279254122	0.2810683634163949
50.0	0.55	2.631307083790601	0.22202760383938974	0.8133004333516896	0.2800681372289878
50.0	0.6	2.8705168186806556	0.23247986806528187	0.8103958387782891	0.27906791104169165
50.0	0.65	3.1097265535707104	0.24293213229118066	0.8074912442051105	0.27806768485447186
50.0	0.7	3.3489362884607647	0.25231689860341966	0.8048832981457781	0.27716961254948014
50.0	0.75	3.5881460233508196	0.2600024295918375	0.8027475550070343	0.2764341480422223
50.0	0.8	3.8273557582408744	0.2676879605802554	0.8006118118686256	0.2756986835350799
50.0	0.85	4.066565493130929	0.2753734915686714	0.7984760687302377	0.2749632190279446
50.0	0.9	4.305775228020984	0.28305902255709114	0.7963403255913872	0.2742277545206501
50.0	0.95	4.5449849629110375	0.28733204194499157	0.7951528901561297	0.27381884925416483
50.0	1.0	4.784194697801093	0.28733204194499157	0.7951528901561166	0.2738188492541603
50.0	1.05	5.023404432691148	0.2873320419449913	0.7951528901561166	0.2738188492541603
50.0	1.1	5.262614167581202	0.2873320419449913	0.7951528901563266	0.2738188492542326
50.0	1.15	5.501823902471256	0.2873320419449913	0.7951528901562381	0.2738188492542022
50.0	1.2	5.741033637361311	0.2873320419449913	0.7951528901560678	0.2738188492541435
50.0	1.25	5.9802433722513655	0.2873320419449913	0.7951528901560678	0.2738188492541435
50.0	1.3	6.219453107141421	0.2873320419449913	0.7951528901559161	0.2738188492540913
50.0	1.35	6.458662842031476	0.28733204194499123	0.7951528901563247	0.273818849254232
50.0	1.4	6.6978725769215295	0.2873320419449913	0.7951528901562381	0.2738188492542022
50.0	1.45	6.937082311811584	0.2873320419449913	0.7951528901562381	0.2738188492542022
50.0	1.5	7.176292046701639	0.2873320419449913	0.7951528901561115	0.27381884925415856
53.95	0.05	0.23920973489005465	0.11264448807554635	0.7514661706436939	0.25877489052286246
53.95	0.1	0.4784194697801093	0.12266440499752289	0.7716107179194475	0.26571186682274095
53.95	0.15	0.7176292046701639	0.1326843219195054	0.7917552651965862	0.27264884312309645
53.95	0.2	0.9568389395602186	0.14270423884148198	0.8118998124738701	0.2795858194235019
53.95	0.25	1.1960486744502732	0.1527241557634616	0.8319955738200966	0.2865059958006885
53.95	0.3	1.4352584093403278	0.1627440726854277	0.8292008546796195	0.2855436063174738
53.95	0.35	1.6744681442303824	0.17276398960741626	0.8263810676137059	0.28457258444345573
53.95	0.4	1.9136778791204372	0.18278390652939266	0.8235612805485255	0.28360156256969027
53.95	0.45	2.152887614010492	0.19280382345138333	0.8207414934818317	0.28263054069540355
53.95	0.5	2.3920973489005464	0.20282374037336268	0.8179217064162811	0.2816595188215106
53.95	0.55	2.631307083790601	0.212843657295342	0.8151019193502835	0.2806884969474636
53.95	0.6	2.8705168186806556	0.22286357421731928	0.8122821322834726	0.2797174750731366
53.95	0.65	3.1097265535707104	0.23288349113930149	0.8094623452184531	0.2787464531994265
53.95	0.7	3.3489362884607647	0.24284008198607382	0.8066603792633638	0.27778156820313193
53.95	0.75	3.5881460233508196	0.2503334378032742	0.8045516124959979	0.2770553932791219
53.95	0.8	3.8273557582408744	0.25773315863163165	0.8024691963195602	0.27633829244460373
53.95	0.85	4.066565493130929	0.2651328794599909	0.8003867801437637	0.27562119161030646
53.95	0.9	4.305775228020984	0.2725326002883502	0.7983043639673938	0.27490409077581174
53.95	0.95	4.5449849629110375	0.2799323211167041	0.7962219477914775	0.27418698994147317
53.95	1.0	4.784194697801093	0.28733204194506157	0.7941395316151494	0.2734698891069928
53.95	1.05	5.023404432691148	0.2873320419449913	0.7941395316161096	0.2734698891073235
53.95	1.1	5.262614167581202	0.2873320419449913	0.7941395316161096	0.2734698891073235
53.95	1.15	5.501823902471256	0.2873320419449913	0.7941395316161096	0.2734698891073235
53.95	1.2	5.741033637361311	0.2873320419449913	0.7941395316161096	0.2734698891073235
53.95	1.25	5.9802433722513655	0.2873320419449913	0.7941395316161096	0.2734698891073235
53.95	1.3	6.219453107141421	0.2873320419449913	0.7941395316152354	0.27346988910702247
53.95	1.35	6.458662842031476	0.2873320419449913	0.7941395316157122	0.2734698891071866
53.95	1.4	6.6978725769215295	0.2873320419449913	0.7941395316157122	0.2734698891071866
53.95	1.45	6.937082311811584	0.2873320419449913	0.7941395316157122	0.2734698891071866
53.95	1.5	7.176292046701639	0.2873320419449913	0.7941395316157122	0.2734698891071866
60.0	0.05	0.23920973489005465	0.10593310023430122	0.7523934006771499	0.2590941914571833
60.0	0.1	0.4784194697801093	0.11535602790496763	0.7726204266265082	0.2660595701131044
60.0	0.15	0.7176292046701639	0.12477895557563676	0.7928474525771314	0.273024948769461
60.0	0.2	0.9568389395602186	0.13420188324630639	0.8130744785256332	0.27999032742508706
60.0	0.25	1.1960486744502732	0.1436248109169755	0.8333015044744968	0.2869557060808377
60.0	0.3	1.4352584093403278	0.15304773858764453	0.8311028485593998	0.2861985769299149
