state	O2_fraction	O2_capacity_mmol_gDW_h	condition_mu_max_h_1	residual_growth_requirement_h_1	optimal_PHB_flux	optimal_PHB_mass_rate	reaction_id	reaction_name	flux	reported_flux
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_EX_glc__D_e	EX_glc__D_e	-2.8	2.8
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_EX_o2_e	EX_o2_e	-0.23920973489005465	0.23920973489005465
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_Growth	Biomass reaction (VB LC1 V2.2 same components)	0.011264448807554636	0.011264448807554636
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_GLCabc	D-glucose transport via ABC system	2.8	2.8
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_GLCDpp	Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm)	0.0	0.0
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_EX_glcn_e	EX_glcn_e	-0.0	-0.0
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_PFK	Phosphofructokinase	1.636423148131148	1.636423148131148
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_GAPD	Glyceraldehyde-3-phosphate dehydrogenase	4.4071310128038	4.4071310128038
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_ENO	Enolase	4.3952320067862285	4.3952320067862285
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_PYK	Pyruvate kinase	2.626078353124385	2.626078353124385
Low O2	0.05	0.23920973489005465	0.11264448807554635	0.011264448807554636	0.7514661706436939	0.25877489052286246	R_PDH	Pyruvate dehydrogenase	4.312120991918301	4.312120991918301
