GAM	alpha	mu_max_h_1	PHB_flux_mmol_lump_gDW_h	PHB_mass_rate_g_gDW_h
40.0	0.0	0.2873320419449916	0.874999999999958	0.30131499999998557
40.0	0.05	0.2873320419449916	0.836359177407876	0.2880086463321762
40.0	0.1	0.2873320419449916	0.7977183548160918	0.2747022926644694
40.0	0.15	0.2873320419449916	0.7590775322242564	0.26139593899674496
40.0	0.2	0.2873320419449916	0.7204367096324378	0.24808958532902628
40.0	0.25	0.2873320419449916	0.6817958870399841	0.23478323166108891
40.0	0.3	0.2873320419449916	0.6431550644480887	0.2214768779933438
40.0	0.35	0.2873320419449916	0.6045142418566298	0.20817052432574903
40.0	0.4	0.2873320419449916	0.5658734192641575	0.19486417065780526
40.0	0.45	0.2873320419449916	0.5272325966725925	0.18155781699017395
40.0	0.5	0.2873320419449916	0.4885917740806778	0.1682514633224222
50.0	0.0	0.28733204194499157	0.8749999999999715	0.3013149999999902
50.0	0.05	0.28733204194499157	0.8350764450780338	0.28756692462707173
50.0	0.1	0.28733204194499157	0.7951528901561166	0.2738188492541603
50.0	0.15	0.28733204194499157	0.7552293352338345	0.26007077388112326
50.0	0.2	0.28733204194499157	0.7153057803122591	0.24632269850832955
50.0	0.25	0.28733204194499157	0.6753822253891636	0.23257462313501237
50.0	0.3	0.28733204194499157	0.6354586704672415	0.21882654776209928
50.0	0.35	0.28733204194499157	0.5955351155460971	0.20507847238945398
50.0	0.4	0.28733204194499157	0.5556115606230152	0.19133039701614152
50.0	0.45	0.28733204194499157	0.5156880057017729	0.1775823216434625
50.0	0.5	0.28733204194499157	0.47576445077957646	0.16383424627045495
53.95	0.0	0.28733204194506157	0.8750000000000568	0.3013150000000196
53.95	0.05	0.28733204194506157	0.8345697658074386	0.28739244455344953
53.95	0.1	0.28733204194506157	0.7941395316151494	0.2734698891069928
53.95	0.15	0.28733204194506157	0.7537092974223671	0.25954733366036636
53.95	0.2	0.28733204194506157	0.7132790632301405	0.24562477821393117
53.95	0.25	0.28733204194506157	0.672848829037791	0.2317022227674537
53.95	0.3	0.28733204194506157	0.6324185948452801	0.21777966732092063
53.95	0.35	0.28733204194506157	0.5919883606523239	0.20385711187423425
53.95	0.4	0.28733204194506157	0.5515581264606795	0.18993455642799958
53.95	0.45	0.28733204194506157	0.5111278922678495	0.17601200098135666
53.95	0.5	0.28733204194506157	0.47069765807484765	0.16208944553465454
60.0	0.0	0.27184786954832235	0.8749999999999774	0.30131499999999223
60.0	0.05	0.27184786954832235	0.8360142978632791	0.2878898836121988
60.0	0.1	0.27184786954832235	0.7970285957273541	0.27446476722467167
60.0	0.15	0.27184786954832235	0.758042893590645	0.2610396508368745
60.0	0.2	0.27184786954832235	0.7190571914543954	0.2476145344492356
60.0	0.25	0.27184786954832235	0.6800714893177853	0.23418941806147253
60.0	0.3	0.27184786954832235	0.64108578718192	0.22076430167396596
60.0	0.35	0.27184786954832235	0.602100085045597	0.20733918528630177
60.0	0.4	0.27184786954832235	0.5631143829090364	0.19391406889855575
60.0	0.45	0.27184786954832235	0.5241286807729226	0.18048895251096364
60.0	0.5	0.27184786954832235	0.48514297863611644	0.16706383612313305
70.0	0.0	0.24961388479637667	0.8749999999999318	0.3013149999999765
70.0	0.05	0.24961388479637667	0.8380885258487079	0.28860416476126105
70.0	0.1	0.24961388479637667	0.8011770516969338	0.2758933295223561
70.0	0.15	0.24961388479637667	0.764265577545969	0.2631824942837299
70.0	0.2	0.24961388479637667	0.7273541033944754	0.2504716590449215
70.0	0.25	0.24961388479637667	0.6904426292427523	0.2377608238060342
70.0	0.3	0.24961388479637667	0.6535311550916888	0.22504998856737396
70.0	0.35	0.24961388479637667	0.6166196809400353	0.21233915332851055
70.0	0.4	0.24961388479637667	0.5797082067883368	0.19962831808963166
70.0	0.45	0.24961388479637667	0.5427967326370803	0.18691748285090495
70.0	0.5	0.24961388479637667	0.5058852584856495	0.17420664761211824
80.0	0.0	0.23074188971309642	0.8750000000002274	0.30131500000007827
80.0	0.05	0.23074188971309642	0.8398491108615079	0.28921043981626887
80.0	0.1	0.23074188971309642	0.8046982217234907	0.2771058796327013
80.0	0.15	0.23074188971309642	0.7695473325847392	0.2650013194488808
80.0	0.2	0.23074188971309642	0.7343964434468527	0.2528967592653582
80.0	0.25	0.23074188971309642	0.6992455543082265	0.2407921990815809
80.0	0.3	0.23074188971309642	0.6640946651696467	0.2286876388978195
80.0	0.35	0.23074188971309642	0.6289437760313247	0.21658307871414698
80.0	0.4	0.23074188971309642	0.5937928868933027	0.20447851853057772
80.0	0.45	0.23074188971309642	0.5586419977541837	0.19237395834663068
80.0	0.5	0.23074188971309642	0.5234911086156828	0.18026939816289653
100.0	0.0	0.2004343172567374	0.8749999999999716	0.30131499999999023
100.0	0.05	0.2004343172567374	0.8426765309417051	0.29018409019508556
100.0	0.1	0.2004343172567374	0.8103530618831296	0.27905318039007454
100.0	0.15	0.2004343172567374	0.778029592824502	0.26792227058504553
100.0	0.2	0.2004343172567374	0.7457061237662309	0.25679136078013926
100.0	0.25	0.2004343172567374	0.7133826547082612	0.24566045097533684
100.0	0.3	0.2004343172567374	0.6810591856494579	0.23452954117024732
100.0	0.35	0.2004343172567374	0.6487357165908827	0.22339863136523636
100.0	0.4	0.2004343172567374	0.6164122475325754	0.21226772156031767
100.0	0.45	0.2004343172567374	0.5840887784738419	0.2011368117552522
100.0	0.5	0.2004343172567374	0.5517653094151865	0.19000590195021363
